Name,Team,Agent,Usage,Rounds Played,Rating,ACS,K:D,ADR,KAST,KPR,APR,First Kills Per Round,First Deaths Per Round,Kills,Deaths,Assists,First Kills,First Deaths
TenZ,No Team,jett,(214) 47%,4469,1.17,263.8,1.31,156.4,72%,0.92,0.20,0.21,0.14,4112,3135,903,933,542
TenZ,No Team,omen,(68) 15%,1440,1.12,214.4,1.14,139.1,76%,0.76,0.44,0.10,0.09,1101,966,632,146,126
TenZ,No Team,reyna,(66) 15%,1332,1.31,285.7,1.49,173.8,77%,0.99,0.29,0.19,0.12,1325,892,385,253,159
TenZ,No Team,raze,(33) 7%,713,1.03,277.4,1.17,168.9,69%,0.90,0.27,0.18,0.16,642,548,190,130,85
TenZ,No Team,kayo,(27) 6%,575,1.08,218.3,0.98,139.6,75%,0.73,0.63,0.09,0.09,421,429,361,49,51
TenZ,No Team,yoru,(13) 3%,263,1.00,225.2,0.99,145.9,69%,0.76,0.30,0.18,0.16,199,201,78,47,41
TenZ,No Team,chamber,(8) 2%,208,1.10,229.6,1.20,147.7,70%,0.84,0.11,0.14,0.11,174,145,22,30,23
TenZ,No Team,gekko,(8) 2%,170,1.01,193.5,0.93,123.2,69%,0.66,0.33,0.12,0.09,113,121,56,20,15
TenZ,No Team,breach,(6) 1%,144,1.21,213.2,1.19,142.7,74%,0.78,0.42,0.03,0.02,113,95,61,4,3
TenZ,No Team,sage,(4) 1%,90,0.95,261.3,1.25,128.7,63%,0.93,0.22,0.17,0.09,84,67,20,15,4
TenZ,No Team,viper,(3) 1%,56,,274.3,1.30,,,0.93,0.14,0.11,,52,40,8,6,0
TenZ,No Team,neon,(1) 0%,26,0.95,208.0,0.89,140.1,65%,0.62,0.35,0.15,0.19,16,18,9,4,5
TenZ,No Team,phoenix,(1) 0%,24,,255.0,1.71,149.8,,1.00,0.08,0.13,0.13,24,14,2,3,3
TenZ,No Team,iso,(1) 0%,24,1.21,281.0,1.16,178.5,67%,0.92,0.21,0.13,0.21,22,19,5,3,5
TenZ,No Team,harbor,(1) 0%,18,1.07,227.0,1.07,171.9,72%,0.83,0.33,0.00,0.00,15,14,6,0,0
Sacy,No Team,sova,(193) 51%,3910,1.24,236.1,1.34,154.3,78%,0.82,0.39,0.09,0.06,3196,2377,1519,368,216
Sacy,No Team,skye,(53) 14%,1093,0.97,174.7,0.93,114.2,74%,0.61,0.42,0.07,0.08,671,721,460,81,82
Sacy,No Team,fade,(52) 14%,1118,0.97,180.8,0.93,120.1,75%,0.62,0.43,0.06,0.08,694,743,478,67,92
Sacy,No Team,breach,(18) 5%,370,1.00,190.1,1.00,123.4,74%,0.67,0.31,0.06,0.04,249,248,114,22,13
Sacy,No Team,jett,(17) 5%,338,1.28,281.8,1.43,167.9,77%,0.98,0.22,0.22,0.17,330,230,73,76,56
Sacy,No Team,gekko,(16) 4%,365,0.95,179.8,0.93,121.2,71%,0.62,0.28,0.05,0.08,226,242,102,19,31
Sacy,No Team,omen,(11) 3%,228,1.07,236.4,1.39,152.2,70%,0.85,0.40,0.07,0.04,193,139,92,17,10
Sacy,No Team,sage,(5) 1%,112,1.32,198.2,1.06,158.2,81%,0.73,0.37,0.08,0.04,82,77,41,9,2
Sacy,No Team,viper,(4) 1%,81,0.64,142.5,0.59,94.4,59%,0.46,0.19,0.07,0.11,37,63,15,6,9
Sacy,No Team,raze,(2) 1%,43,1.08,249.5,1.16,153.0,72%,0.86,0.23,0.09,0.14,37,32,10,4,6
Sacy,No Team,reyna,(2) 1%,38,,194.5,0.77,109.2,,0.63,0.21,0.13,0.29,24,31,8,5,4
Sacy,No Team,brimstone,(1) 0%,24,1.10,217.0,1.00,155.2,79%,0.71,0.54,0.08,0.04,17,17,13,2,1
Sacy,No Team,killjoy,(1) 0%,24,0.51,97.0,0.53,61.0,63%,0.38,0.08,0.00,0.13,9,17,2,0,3
Tarik,No Team,cypher,(7) 100%,137,,209.0,1.10,,,0.74,0.18,0.08,,102,93,24,11,0
